source,preprint_doi,published_doi,published_journal,preprint_title,preprint_authors,preprint_category,preprint_date,published_date,preprint_abstract
biorxiv,10.1101/2020.10.08.329912,10.1515/tnsci-2020-0157,Translational Neuroscience,Transcranial Bipolar Direct Current Stimulation of the Frontoparietal Cortex Reduces Ketamine-Induced Oscillopathies: A Pilot Study in the Sedated Rat,"Lahogue, C.; Pinault, D.",neuroscience,2020-10-09,2021-06-28,"During the prodromal phase of schizophrenia with its complex and insidious clinical picture, electroencephalographic recordings detect widespread oscillation disturbances (or oscillopathies). Neural oscillations are electro-biomarkers of the connectivity state within systems. A single systemic administration of ketamine, a non-competitive NMDA glutamate receptor antagonist, transiently reproduces the oscillopathies with a clinical picture reminiscent of the psychosis prodrome. This acute pharmacological model may help the research and development of innovative treatments against the psychotic transition. Transcranial electrical stimulation is recognized as an appropriate non-invasive therapeutic modality since it can increase cognitive performance and modulate neural oscillations with little or no side effects. Therefore, our objective was to set up, in the sedated adult rat, a stimulation method able to normalize the ketamine-induced oscillopathies. Unilateral transcranial frontoparietal anodal stimulation by direct current (<+1 mA) was applied in ketamine-treated rats. A concomitant electroencephalographic recording of the parietal cortex measured the stimulation effects on its spontaneously-occurring oscillations. A 5-min bipolar anodal tDCS immediately and quickly reduced, significantly with an intensity-effect relationship, the ketamine-induced oscillopathies at least in the bilateral parietal cortex. A duration effect was also recorded. These preliminary neurophysiological findings are promising for developing a therapeutic proof-of-concept against neuropsychiatric disorders."
medrxiv,10.1101/2025.08.08.25333284,10.1186/s12904-025-01971-4,BMC Palliative Care,Coproducing a conceptual understanding of unmet palliative care needs: stakeholder workshops using modified nominal group technique,"Bone, A. E.; Diggle, M.; Johansson, T.; Finucane, A.; Sleeman, K. E.; Davies, J. M.; Higginson, I. J.; Fraser, L. K.; Murtagh, F. E. M.",palliative medicine,2025-08-11,2025-12-23,"BackgroundDespite growing recognition of the importance of identifying unmet needs in palliative care, there remains no clear, operational definition of what constitutes unmet palliative care needs. This gap hinders service planning, policy development and equitable access to care. We aimed to explore priorities for understanding and measuring unmet palliative care needs with stakeholders, including people with lived and professional experience.

MethodsThree online workshops using a modified nominal group technique with people with lived experience of life-limiting illness and professionals in palliative care. Separate workshops were held for each group to independently identify elements that capture the concept of unmet palliative care needs, followed by a combined workshop to refine and consolidate findings. Workshop data were analysed using content analysis. Participants then completed an online ranking exercise to prioritise key elements, which was analysed descriptively.

FindingsTwenty-eight individuals participated, including 11 people with lived experience and 17 with professional experience. In the final workshop, participants agreed on a list of 27 elements capturing unmet palliative care needs, which were conceptualised in two main ways: 1) service-related (e.g. lack of a single point of contact to access support, including out-of-hours), and those related to symptoms and concerns, (e.g. pain not assessed and managed). Twenty-three participants completed the ranking exercise. Highly prioritised elements included lack of timely and holistic assessment of symptoms or suffering, inability to access services needed, lack of coordination, and continuity of care. Other priorities for understanding and measuring unmet palliative care needs were lack of timely follow-up to address symptoms, lack of skilled support, and lack of respect, dignity and empathy.

ConclusionsThis study is the first to engage both individuals with lived experience and professionals in conceptualising unmet palliative care needs. Stakeholders prioritised two broad aspects important for capturing unmet palliative care needs: symptom-related concerns and service-related issues. These findings provide a foundation for developing stakeholder-informed tools to assess unmet palliative care needs that are feasible for use across diverse care settings and populations."
medrxiv,10.1101/2024.08.06.24311421,10.3390/diagnostics15070923,Diagnostics,Analytical Validation of MyProstateScore 2.0,"Meyers, J. I.; Schatz, T. M.; Seitz, C. J.; Botbyl, R.; Moore, B. S.; Crafts, B. G.; Heaton, S.; Kitchen, J. R.",oncology,2024-08-10,2025-04-03,"Prostate cancer (PCa) remains the most common cancer and the second leading cause of cancer-related deaths among men in the United States. Early detection is critical, yet routine prostate-specific antigen (PSA) screening has shown limited benefits, often leading to unnecessary biopsies. MyProstateScore 2.0 (MPS2), a novel urinary 18-biomarker test, aims to improve the detection of clinically significant prostate cancer (csPCa) while minimizing the risk of unnecessary procedures. This study aims to validate the analytical performance of MPS2, including analytical detection limits, reproducibility, and robustness across various potential interfering substances. The limit of detection (LoD) and lower limit of quantitation (LLOQ) for the 18 MPS2 biomarkers ranged from 40 to 160 copies/reaction and 80 to 320 copies/reaction, respectively. The upper limit of quantitation (ULOQ) was determined to be up to 10^7 copies/reaction for most analytes. The linear amplification of MPS2 biomarker amplification was confirmed between the defined LLOQ and ULOQ. The impact of eleven potential interfering substances were tested and shown to have minimal impact on the assay. In conclusion, MPS2 exhibits robust analytical performance, with reliable detection and quantitation limits. This validation supports the clinical use of MPS2 for accurately predicting clinically-significant PCa, potentially reducing unnecessary biopsies and associated complications."
biorxiv,10.1101/2020.10.20.346817,10.1371/journal.pone.0241653,PLOS ONE,Potential Linkage between Toxoplasma gondii Infection and Physical Education Scores of College Students,"Sheng, Z.; Jin, Y.; Du, Y.; Yan, X.; Yao, Y.",microbiology,2020-10-20,2021-03-03,"ObjectiveToxoplasma gondii is a worldwide protozoan parasite that could infect virtually all warm-blooded animals, including humans. Our study aimed to investigate the prevalence of T. gondii infection in college students at Anhui province, China. Moreover, growing studies demonstrated the association between T. gondii infection and host behavioral changes. We also studied the linkage between T. gondii and scores of college students.

Methods2704 serum samples of medical school students attending physical education lessons were collected from September 2017 to September 2019 and evaluated for T. gondii IgG antibodies using an enzyme-linked immunosorbent assay (ELISA). We also analysed PE scores of T. gondii infected students and T. gondii uninfected students.

ResultsThe overall seroprevalence of T. gondii was 11.5%. The main risk factors related to T. gondii infections were cat in the household and gardening or agriculture activity. Furthermore, in basketball group and football group, scores of T. gondii seropositive students were significantly higher than that of seronegative students, while in other sports there is no difference between scores of T. gondii infected students and T. gondii uninfected students.

ConclusionThis is the first report of T. gondii seroprevalence in college students in Anhui province, China."
medrxiv,10.1101/2021.07.13.21259300,10.1038/s41531-021-00260-0,npj Parkinson's Disease,"Gut bacterial tyrosine decarboxylase gene abundance associates with disease duration, medication exposure, and gastrointestinal symptoms in a longitudinal cohort of Parkinson's disease patients.","van Kessel, S. P.; Auvinen, P.; Scheperjans, F.; El Aidy, S.",neurology,2021-07-15,2021-12-15,"Gut microbiota influences the clinical response of a wide variety of orally administered drugs. However, the underlying mechanisms by which drug-microbiota interactions occur are still obscure. Previously, we reported that tyrosine decarboxylating (TDC) bacteria may restrict the levels of levodopa reaching the circulation in patients with Parkinsons disease (PD). We observed a significant positive association between disease duration and the abundance of the bacterial tdc-gene. The question arises whether increased exposure to anti-PD medication could affect the abundance of bacterial TDC, to ultimately impact drug efficacy. To this end, we investigated the potential association between anti-PD drug exposure and bacterial tdc-gene abundance over a time period of two years in a longitudinal cohort of PD patients and healthy controls. Our data reveal significant associations between tdc-gene abundance, anti-PD medication, and gastrointestinal symptoms and warrants further research on the effect of anti-PD medication on microbial changes and gastrointestinal-function."
biorxiv,10.1101/2021.06.27.450065,10.1038/s41467-021-26889-2,Nature Communications,Mechanism of actin-dependent activation of nucleotidyl cyclase toxins from bacterial human pathogens,"Belyy, A.; Merino, F.; Mechold, U.; Raunser, S.",biochemistry,2021-06-27,2021-11-16,"Several bacterial human pathogens secrete nucleotidyl cyclase toxins, that are activated by interaction with actin of the eukaryotic host cells. However, the underlying molecular mechanism of this process which protects bacteria from self-intoxication is unclear. Here, we report structures of ExoY from Pseudomonas aeruginosa and Vibrio vulnificus in complex with their corresponding activators F-actin and profilin-G-actin. The structures reveal that in contrast to the apo state, two flexible regions become ordered and interact strongly with actin. The specific stabilization of these regions results in an allosteric stabilization of the distant nucleotide binding pocket and thereby to an activation of the enzyme. Differences in the sequence and conformation of the actin-binding regions are responsible for the selective binding to either F- or G-actin. This specificity can be biotechnologically modulated by exchanging these regions from one toxin to the other.

Other bacterial nucleotidyl cyclases, such as the anthrax edema factor and CyaA from Bortedella pertussis, that bind to calmodulin undergo a similar disordered-to-ordered transition during activation, suggesting that the allosteric activation-by-stabilization mechanism of ExoY is paradigmatic for all bacterial nucleotidyl cyclase toxins."
biorxiv,10.1101/2024.06.10.598101,10.1111/imm.13905,Immunology,Epstein-Barr virus induced 3 attributes to TLR7-mediated splenomegaly and bicytopenia,"Iseki, M.; Sakamoto, Y.; Takezaki, D.; Matsuda, Y.; Inoue, M.; Morizane, S.; Mukai, T.",immunology,2024-06-11,2025-01-28,"Epstein-Barr virus induced 3 (EBI3) is a gene induced by stimulation of toll-like receptors (TLRs) and functions as a component of a heterodimer cytokine IL-27. IL-27 regulates both innate and acquired immune responses; however, their function in vivo is still largely unknown. Splenomegaly, an enlargement of the spleen, is known to be induced by chronic infectious diseases, including infectious mononucleosis due to EB virus infection. Repeated treatment of imiquimod (IMQ; a TLR7 agonist) has been reported to induce splenomegaly and cytopenia due to increased splenic function. Although immune cell activation is speculated to be involved in the pathogenesis of chronic infection-mediated splenomegaly, the detailed molecular mechanism is unknown. Here, we demonstrated that IMQ induced marked splenomegaly and severe bicytopenia (anemia and thrombocytopenia) in the wild-type mice. Myeloid cells, not lymphoid cells, were increased in the enlarged spleen. Extramedullary hematopoiesis was observed in the enlarged spleen of the IMQ-treated mice. RNA-seq analysis revealed that type I interferon (IFN)-related genes were upregulated in the spleen and peripheral blood in IMQ-treated mice. Ebi3 deficiency partially retrieved these IMQ-induced pathological changes. We found that Il27 as well as Ebi3 genes were elevated by IMQ in the spleen and peripheral blood. Further, IL-27 stimulation upregulated type I IFN-related genes in bone marrow-derived macrophage culture in the absence of type I IFN. Collectively, EBI3 contributes to TLR7-induced splenomegaly and bicytopenia, presumably via IL-27."
biorxiv,10.1101/2024.02.12.579861,10.1126/sciadv.ado7829,Science Advances,Chemogenetic activation of microglial Gi signaling decreases microglial surveillance and impairs neuronal synchronization,"Zhao, S.; Wang, L.; Liang, Y.; Zheng, J.; Umpierre, A. D.; Wu, L.-J.",neuroscience,2024-02-12,2025-02-28,"Microglia actively survey the brain and dynamically interact with neurons to maintain brain homeostasis. Microglial Gi-protein coupled receptors (Gi-GPCRs) play a critical role in microglia-neuron communications. However, the impact of temporally activating microglial Gi signaling on microglial dynamics and neuronal activity in the homeostatic brain remains largely unknown. In this study, we employed Gi-based Designer Receptors Exclusively Activated by Designer Drugs (Gi-DREADD) to selectively and temporally modulate microglial Gi signaling pathway. By integrating this chemogenetic approach with in vivo two-photon imaging, we observed that exogenous activation of microglial Gi signaling transiently inhibited microglial process dynamics, reduced neuronal activity, and impaired neuronal synchronization. These altered neuronal functions were associated with a decrease in interactions between microglia and neuron somata. Altogether, this study demonstrates that acute, exogenous activation of microglial Gi signaling can regulate neuronal circuit function, offering a potential pharmacological target for neuromodulation through microglia."
biorxiv,10.1101/2022.02.21.481265,10.1371/journal.pgen.1010432,PLOS Genetics,Antisense non-coding transcription represses the PHO5 model gene via remodelling of promoter chromatin structure,"Novacic, A.; Menendez, D.; Ljubas, J.; Barbaric, S.; Stutz, F.; Soudet, J.; Stuparevic, I.",molecular biology,2022-02-21,2022-10-10,"Pervasive transcription of eukaryotic genomes generates non-coding transcripts with regulatory potential. We examined the effects of non-coding antisense transcription on the regulation of expression of the yeast PHO5 gene, a paradigmatic case for gene regulation through promoter chromatin remodeling. A negative role for antisense transcription at the PHO5 gene locus was demonstrated by leveraging the level of overlapping antisense transcription through specific mutant backgrounds, expression from a strong promoter in cis, and use of the CRISPRi system. Furthermore, we showed that enhanced elongation of PHO5 antisense leads to a more repressive chromatin conformation at the PHO5 gene promoter, which is more slowly remodeled upon gene induction. The negative effect of antisense transcription on PHO5 gene transcription is mitigated upon inactivation of the histone deacetylase Rpd3, showing that PHO5 antisense RNA acts via histone deacetylation. This regulatory pathway leads to Rpd3-dependent decreased recruitment of the RSC chromatin remodeling complex to the PHO5 gene promoter upon induction of antisense transcription. Overall, the data in this work reveal an additional level in the complex regulatory mechanism of PHO5 gene expression by showing antisense transcription-mediated repression at the level of promoter chromatin structure remodeling."
biorxiv,10.1101/2020.10.30.361915,10.1016/j.stemcr.2021.11.006,Stem Cell Reports,Haploid mouse germ cell precursors from embryonic stem cells reveal Xist activation from a single X chromosome,"Aizawa, E.; Kaufmann, C.; Sting, S.; Freimann, R.; Wutz, A.",developmental biology,2020-10-30,2021-12-16,Mammalian haploid cells have applications for genetic screening and substituting gametic genomes. Here we characterize a culture system for obtaining haploid primordial germ cell-like cells (PCGLCs) from haploid mouse embryonic stem cells (ESCs). We find that a haploid genome is maintained in PGCLCs with a high frequency indicating a substantially lower rate of diploidization than somatic cells. Characterization of the differentiating haploid ESCs reveals that Xist is activated from the single X chromosome. This observation suggests that X chromosome inactivation is initiated in haploid cells consistent with a model where autosomal blocking factors set a threshold for X-linked activators. The germline segregates from the epiblast and differs from somatic lineages in gene expression and epigenetic mechanisms. The ability of primordial germ cells for repressing Xist might contribute to the maintenance of a haploid genome.
